code,name_id,category,default_leg,is_taxable,is_at_cost_default,pph23_applicable,segment_scope,typical_vendor,catatan_verifikasi
OF,Ocean Freight,FREIGHT,2,TRUE,FALSE,UNKNOWN,BOTH,ICON/SPIL/TEMAS/MERATUS,PERLU KONFIRMASI PPh23
AF,Air Freight,FREIGHT,2,TRUE,FALSE,UNKNOWN,BOTH,,PERLU KONFIRMASI
BL,Bill of Lading,DOKUMEN,2,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,PERLU KONFIRMASI
TELEX FEE,Telex Release Fee,DOKUMEN,2,TRUE,FALSE,UNKNOWN,EXIM,pelayaran,PERLU KONFIRMASI
LSS,Low Sulphur Surcharge,FREIGHT,2,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,PERLU KONFIRMASI
TOESLAG,Surcharge Pelayaran,FREIGHT,2,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,PERLU KONFIRMASI
ADD FREIGHT,Additional Freight,FREIGHT,2,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,PERLU KONFIRMASI
APBS,Alur Pelayaran Barat Surabaya,FREIGHT,2,TRUE,FALSE,UNKNOWN,DOM,pelayaran,retribusi alur - cek apakah reimburse
THC,Terminal Handling Charge,TERMINAL,2,TRUE,FALSE,UNKNOWN,BOTH,pelayaran/terminal,PERLU KONFIRMASI
THC LOLO,THC Lift On Lift Off,TERMINAL,2,TRUE,FALSE,UNKNOWN,BOTH,terminal,PERLU KONFIRMASI
THC TRANSIT,THC Transit,TERMINAL,2,TRUE,FALSE,UNKNOWN,BOTH,terminal,PERLU KONFIRMASI
THD,Terminal Handling Destination,TERMINAL,3,TRUE,FALSE,UNKNOWN,BOTH,terminal tujuan,PERLU KONFIRMASI
LOLO,Lift On Lift Off,TERMINAL,2,TRUE,FALSE,UNKNOWN,BOTH,terminal,muncul sebagai reimburse di 26.08-005
STORDEM,Storage dan Demurrage,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,pelayaran/terminal,sering dipecah antar job - lihat ADR-0006
CLEANING,Pembersihan Container,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,terminal,PERLU KONFIRMASI
SEGEL,Segel Container,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,
SEAL,Seal Container,TERMINAL,,TRUE,FALSE,UNKNOWN,EXIM,pelayaran,DUPLIKAT SEGEL? PERLU KONFIRMASI
PENITIPAN CONTAINER,Penitipan Container,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,depo,PERLU KONFIRMASI
SPREADER,Spreader,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,terminal,PERLU KONFIRMASI
STRAP,Strapping,TERMINAL,,TRUE,FALSE,UNKNOWN,BOTH,terminal,PERLU KONFIRMASI
DO,Delivery Order,DOKUMEN,3,TRUE,FALSE,UNKNOWN,BOTH,pelayaran,PERLU KONFIRMASI
TRUCKING,Trucking,DARAT,1,TRUE,FALSE,UNKNOWN,BOTH,SMT/ATM,PPh23 jasa angkut? PERLU KONFIRMASI
CHARGE TRUCKING,Charge Trucking,DARAT,1,TRUE,FALSE,UNKNOWN,BOTH,,BEDA DENGAN TRUCKING? PERLU KONFIRMASI
DOORING,Dooring,DARAT,3,TRUE,FALSE,UNKNOWN,BOTH,DANISH/SPIL,PERLU KONFIRMASI
ADD COST PICK UP EMPTY,Biaya Ambil Container Kosong,DARAT,1,TRUE,FALSE,UNKNOWN,BOTH,ATM,PERLU KONFIRMASI
UM SUPIR,Uang Makan Supir,DARAT,1,TRUE,FALSE,UNKNOWN,BOTH,internal,cek apakah kena pajak
BIAYA TIMBANG,Biaya Jembatan Timbang,DARAT,1,TRUE,FALSE,UNKNOWN,DOM,,PERLU KONFIRMASI
PEB,Pemberitahuan Ekspor Barang,DOKUMEN,,TRUE,FALSE,UNKNOWN,EXIM,PPJK,PERLU KONFIRMASI
PIB,Pemberitahuan Impor Barang,DOKUMEN,,TRUE,FALSE,UNKNOWN,EXIM,PPJK,PERLU KONFIRMASI
COO,Certificate of Origin,DOKUMEN,,TRUE,FALSE,UNKNOWN,EXIM,instansi,PERLU KONFIRMASI
PPFTZ,Dokumen PPFTZ,DOKUMEN,,TRUE,FALSE,UNKNOWN,BOTH,PPJK,khusus Batam
DOC,Biaya Dokumen,DOKUMEN,,TRUE,FALSE,UNKNOWN,BOTH,,PERLU KONFIRMASI
