job_no,segment,direction,seq_scope,year,month,running,suffix,sales,service_type,customer_raw,pol,pod,qty_ctr,ship_line_raw,vessel,etd,selling,cost,gp,gp_pct_src,status_src,paid_flag,tgl_cetak_invoice,tgl_kirim_invoice,top_days,tgl_jatuh_tempo,tgl_pembayaran,nilai_pembayaran,keterangan,source_sheet,source_row
ISLI-26.04-001,DOMESTIC,DOMESTIC,DOM,2026,04,001,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,JAKARTA,TJ. PINANG,1X20',ICON,IC IBRANI XI V.43/26,2026-04-12,14000000,12750000,1250000,0.089286,FINAL,PAID,2026-05-18,2026-05-20,30,2026-06-19,2026-06-15,29994659,OK,DOM,12
ISLI-26.04-002,DOMESTIC,DOMESTIC,DOM,2026,04,002,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,JAKARTA,TJ. PINANG,1X20',ICON,IC IBRANI XI V.43/26,2026-04-12,15000000,12700000,2300000,0.153333,FINAL,PAID,2026-05-18,2026-05-20,30,2026-06-19,2026-06-15,,OK,DOM,13
ISLI-26.04-003,DOMESTIC,DOMESTIC,DOM,2026,04,003,,KIM,FCL,TOTAL BANGUN PERSADA,JAKARTA,BATAM,1X20',MERATUS,MERATUS AMPANA JB464N,2026-04-21,16500000,15000000,1500000,0.090909,FINAL,PAID,2026-06-04,2026-06-05,30,2026-07-08,2026-07-10,,OK,DOM,14
ISLI-26.04-004,DOMESTIC,DOMESTIC,DOM,2026,04,004,,KIM,FCL,SINAR INDAH LOGISTIK,JAKARTA,BANJARMASIN,1X20',CTP,INTAN DAYA 4 V. 13N26,2026-04-20,31000000,28000000,3000000,0.096774,FINAL,PAID,2026-04-22,2026-04-22,30,2026-05-22,2026-06-25,,LATE 34 HARI,DOM,15
ISLI-26.04-005,DOMESTIC,DOMESTIC,DOM,2026,04,005,,KIM,FCL,GLOBAL ANUGRAH LOGISTIK,JAKARTA,BANJARMASIN,1X20',CTP,INTAN DAYA 4 V. 13N26,2026-04-20,17500000,15000000,2500000,0.142857,FINAL,,2026-06-11,2026-06-12,30,2026-07-15,,,,DOM,16
ISLI-26.04-006,DOMESTIC,DOMESTIC,DOM,2026,04,006,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,SURABAYA,1X20',PULAU LAUT,WGM 0285S,2026-04-24,36000000,33000000,3000000,0.083333,FINAL,PAID,2026-05-19,2026-05-21,30,2026-06-20,2026-06-23,,LATE 3 HARI,DOM,17
ISLI-26.04-007,DOMESTIC,DOMESTIC,DOM,2026,04,007,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,JAKARTA,PONTIANAK,1X20',SINDO,LL 2528 V. 31 JN // Dody,2026-04-21,15000000,11200000,3800000,0.253333,FINAL,PAID,2026-05-12,2026-05-13,30,2026-06-12,2026-06-23,,LATE 11 HARI,DOM,18
ISLI-26.04-008,DOMESTIC,DOMESTIC,DOM,2026,04,008,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,JAKARTA,PONTIANAK,3X20',SINDO,LL 2528 V. 31 JN // Dody,2026-04-21,49000000,37000000,12000000,0.244898,FINAL,PAID,2026-05-12,2026-05-13,30,2026-06-12,2026-06-15,48520772,OK,DOM,19
ISLI-26.04-009,DOMESTIC,DOMESTIC,DOM,2026,04,009,,KIM,FCL,GLOBAL ANUGRAH LOGISTIK,JAKARTA,BELAWAN,1X20',TEMAS,IZUMI MAS V.2226,2026-04-25,29300000,26500000,2800000,0.095563,FINAL,PAID,2026-05-19,2026-05-21,30,2026-06-20,2026-06-30,,LATE 10 HARI,DOM,20
ISLI-26.04-010,DOMESTIC,DOMESTIC,DOM,2026,04,010,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,SURABAYA,1X40',LKA,LINTAS 18 V.06/26,2026-04-18,36000000,33100000,2900000,0.080556,FINAL,PAID,2026-05-19,2026-05-21,30,2026-06-20,2026-06-23,,LATE 3 HARI,DOM,21
ISLI-26.04-011,DOMESTIC,DOMESTIC,DOM,2026,04,011,,KIM,FCL,DAVINDO,JAKARTA,PONTIANAK,1X20',LKA,,,21200000,18500000,2700000,0.127358,FINAL,PAID,2026-05-11,2026-05-12,30,2026-06-11,2026-06-12,21200000,OK,DOM,22
ISLI-26.05-001,DOMESTIC,DOMESTIC,DOM,2026,05,001,,KIM,FCL,GLOBAL ANUGRAH LOGISTIK,JAKARTA,ACEH,1X20',TEMAS,LAGUN MAS,2006-05-06,20000000,18000000,2000000,0.100000,FINAL,,2026-06-04,2026-06-05,30,2026-07-08,,,,DOM,26
ISLI-26.05-002,DOMESTIC,DOMESTIC,DOM,2026,05,002,,KIM,FCL,TOTAL BANGUN PERSADA,JAKARTA,BATAM,1X20',ICON,ICON IBRANI XI V.52/26,2006-05-03,16500000,14000000,2500000,0.151515,FINAL,PAID,2026-06-04,2026-06-05,30,2026-07-08,2026-07-10,,OK,DOM,27
ISLI-26.05-003,DOMESTIC,DOMESTIC,DOM,2026,05,003,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,BITUNG,1X40',SPIL,SELILI BARU,2026-05-04,38000000,33000000,5000000,0.131579,FINAL,,2026-07-03,,,,,,,DOM,28
ISLI-26.05-004,DOMESTIC,DOMESTIC,DOM,2026,05,004,,KIM,FCL,DAVINDO,JAKARTA,BANJARMASIN,2X20',CTP,INTAN DAYA 4,2026-05-05,41000000,36000000,5000000,0.121951,FINAL,PAID,2026-05-26,2026-05-26,30,2026-06-25,2026-07-03,,LATE 6 HARI,DOM,29
ISLI-26.05-005,DOMESTIC,DOMESTIC,DOM,2026,05,005,,KIM,FCL,MATEREE NUSANTARA,JAKARTA,PALU,1X21',MERATUS,MERATUS KONAWE BS425N,2026-05-07,24300000,22000000,2300000,0.094650,FINAL,,2026-07-03,,,,,,,DOM,30
ISLI-26.05-006,DOMESTIC,DOMESTIC,DOM,2026,05,006,,KIM,FCL,TOTAL BANGUN PERSADA,JAKARTA,BATAM,2X20',ICON,IC IBRANI XI V.54,2026-05-11,33000000,29500000,3500000,0.106061,FINAL,,2026-06-11,2026-06-12,30,2026-07-15,,,,DOM,31
ISLI-26.05-007,DOMESTIC,DOMESTIC,DOM,2026,05,007,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,PALU,1X40',SPIL,PULAU LAYANG V.10,2026-05-12,36000000,33000000,3000000,0.083333,FINAL,,2026-07-03,,,,,,,DOM,32
ISLI-26.05-008,DOMESTIC,DOMESTIC,DOM,2026,05,008,,KIM,FCL,TOTAL BANGUN PERSADA,JAKARTA,BATAM,3X20',MERATUS,MERATUS AMURANG VJB467N,2026-05-18,49500000,44000000,5500000,0.111111,FINAL,,2026-06-17,2026-06-18,30,2026-07-21,,,,DOM,33
ISLI-26.05-009,DOMESTIC,DOMESTIC,DOM,2026,05,009,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,GORONTALO,1X40',SPIL,PULAU LAYANG V.10,2026-05-12,41500000,39000000,2500000,0.060241,FINAL,,2026-06-30,,,,,,,DOM,34
ISLI-26.05-010,DOMESTIC,DOMESTIC,DOM,2026,05,010,,KIM,FCL,GLOBAL ANUGRAH LOGISTIK,JAKARTA,MEDAN,1X20',CTP,INTAN DAYA 298 V.12N26,2026-05-19,29300000,25600000,3700000,0.126280,FINAL,,2026-06-11,2026-06-12,30,2026-07-21,,,,DOM,35
ISLI-26.05-011,DOMESTIC,DOMESTIC,DOM,2026,05,011,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,JAKARTA,1X40',TEMAS,UMBUL MAS V.29,2026-05-17,17800000,16000000,1800000,0.101124,FINAL,PAID,2026-06-04,2026-06-05,30,2026-07-21,2026-07-06,,OK,DOM,36
ISLI-26.05-012,DOMESTIC,DOMESTIC,DOM,2026,05,012,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,SURABAYA,1X40',LKA,LINTAS 18,2026-05-15,37000000,33300000,3700000,0.100000,FINAL,,2026-06-17,2026-06-18,30,2026-07-21,,,,DOM,37
ISLI-26.05-013,DOMESTIC,DOMESTIC,DOM,2026,05,013,,KIM,FCL,GLOBAL ANUGRAH LOGISTIK,JAKARTA,MEDAN,1X20',CTP,INTAN DAYA 298 V.12N26,2026-05-19,29300000,25800000,3500000,0.119454,FINAL,,2026-06-11,2026-06-12,30,2026-07-21,,,,DOM,38
ISLI-26.05-014,DOMESTIC,DOMESTIC,DOM,2026,05,014,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,KENDARI,1X40',TEMAS,UMBUL MAS V.29,2026-05-17,39500000,35500000,4000000,0.101266,,,,,,,,,,DOM,39
ISLI-26.05-015,DOMESTIC,DOMESTIC,DOM,2026,05,015,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,BITUNG,1X40',SPIL,SELILI BARU V.10,2026-05-18,37500000,31400000,6100000,0.162667,FINAL,,2026-07-03,,,,,,,DOM,40
ISLI-26.05-016,DOMESTIC,DOMESTIC,DOM,2026,05,016,,KIM,FCL,GLOBAL INDONESIA ASIA SEJAHTERA,PERAWANG,PALU,1X40',SPIL,SELILI BARU V.10,2026-05-18,39800000,33200000,6600000,0.165829,FINAL,,2026-07-03,,,,,,,DOM,41
ISLI-26.05-017,DOMESTIC,DOMESTIC,DOM,2026,05,017,,KIM,FCL,TANJUNG UNCANG,SURABAYA,BATAM,1X20',TEMAS,TELAGA MAS V.43,2026-05-18,21200000,19000000,2200000,0.103774,FINAL,,2026-06-17,2026-06-18,30,2026-07-21,,,,DOM,42
